"BehaviorSpace results (NetLogo 6.1.1)"
"Pulmonary_Histology.nlogo"
"Vary-Thy1n"
"04/12/2020 13:03:45:508 -0400"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-30","30","-22","22"
"[run number]","collagen-degradation","degrader-count","thy1ps-count","n-collagen-deposition","AS-entry-threshold","thy1ns-count","p-collagen-deposition","AS-entry-random","[step]","count patches with [pcolor = 128] / count patches","count patches with [pcolor = 125] / count patches","count patches with [tissue-type = ""alveolar-space"" and pcolor != white] / count patches with [tissue-type = ""alveolar-space""]"
"23","0.5","10","10","1","15","40","0.5","50","1000","0.14499089253187614","0.6389799635701275","0.7027162977867203"
"22","0.5","10","10","1","15","40","0.5","50","1000","0.16539162112932604","0.6233151183970856","0.7203219315895373"
"25","0.5","10","10","1","15","40","0.5","50","1000","0.1744990892531876","0.6200364298724954","0.7193158953722334"
"27","0.5","10","10","1","15","50","0.5","50","1000","0.1540983606557377","0.702367941712204","0.8028169014084507"
"29","0.5","10","10","1","15","50","0.5","50","1000","0.14899817850637523","0.7260473588342441","0.8289738430583501"
"28","0.5","10","10","1","15","50","0.5","50","1000","0.1533697632058288","0.7205828779599271","0.829979879275654"
"32","0.5","10","10","1","15","60","0.5","50","1000","0.1063752276867031","0.8040072859744991","0.8792756539235412"
"26","0.5","10","10","1","15","50","0.5","50","1000","0.14790528233151184","0.6378870673952641","0.7278672032193159"
"31","0.5","10","10","1","15","60","0.5","50","1000","0.12859744990892533","0.7038251366120218","0.7701207243460765"
"30","0.5","10","10","1","15","50","0.5","50","1000","0.1570127504553734","0.6794171220400729","0.778672032193159"
"34","0.5","10","10","1","15","60","0.5","50","1000","0.15555555555555556","0.75591985428051","0.8792756539235412"
"33","0.5","10","10","1","15","60","0.5","50","1000","0.14280510018214937","0.7187613843351548","0.8194164989939637"
"35","0.5","10","10","1","15","60","0.5","50","1000","0.1162112932604736","0.8076502732240437","0.8948692152917505"
"36","0.5","10","10","1","15","70","0.5","50","1000","0.11475409836065574","0.7897996357012751","0.8712273641851107"
"37","0.5","10","10","1","15","70","0.5","50","1000","0.11147540983606558","0.7617486338797814","0.8254527162977867"
"38","0.5","10","10","1","15","70","0.5","50","1000","0.12896174863387977","0.7806921675774134","0.8777665995975855"
"40","0.5","10","10","1","15","70","0.5","50","1000","0.11256830601092896","0.8061930783242258","0.8898390342052314"
"39","0.5","10","10","1","15","70","0.5","50","1000","0.10273224043715846","0.8371584699453551","0.9170020120724346"
"42","0.5","10","10","1","15","80","0.5","50","1000","0.09289617486338798","0.8302367941712204","0.8938631790744467"
"43","0.5","10","10","1","15","80","0.5","50","1000","0.09908925318761384","0.8608378870673953","0.9451710261569416"
"41","0.5","10","10","1","15","80","0.5","50","1000","0.10746812386156648","0.8284153005464481","0.9119718309859155"
"44","0.5","10","10","1","15","80","0.5","50","1000","0.09143897996357013","0.8378870673952641","0.903420523138833"
"45","0.5","10","10","1","15","80","0.5","50","1000","0.12240437158469945","0.8255009107468124","0.9285714285714286"
"46","0.5","10","10","1","15","90","0.5","50","1000","0.0877959927140255","0.8484517304189435","0.9119718309859155"
"47","0.5","10","10","1","15","90","0.5","50","1000","0.07140255009107468","0.8867030965391621","0.9421529175050302"
"48","0.5","10","10","1","15","90","0.5","50","1000","0.053551912568306013","0.9285974499089253","0.9753521126760564"
"49","0.5","10","10","1","15","90","0.5","50","1000","0.07358834244080145","0.9009107468123861","0.9647887323943662"
"50","0.5","10","10","1","15","90","0.5","50","1000","0.05865209471766849","0.9271402550091075","0.9803822937625755"
"51","0.5","10","10","1","15","100","0.5","50","1000","0.08378870673952642","0.8728597449908926","0.9401408450704225"
"52","0.5","10","10","1","15","100","0.5","50","1000","0.06083788706739526","0.8965391621129326","0.9451710261569416"
"53","0.5","10","10","1","15","100","0.5","50","1000","0.07285974499089254","0.88816029143898","0.9461770623742455"
"55","0.5","10","10","1","15","100","0.5","50","1000","0.06229508196721312","0.9151183970856102","0.9688128772635815"
"54","0.5","10","10","1","15","100","0.5","50","1000","0.05391621129326048","0.8972677595628415","0.9330985915492958"
"24","0.5","10","10","1","15","40","0.5","50","1000","0.16721311475409836","0.5887067395264116","0.670523138832998"
